order_date,customer_id,gender,product,category,quantity,unit_price,payment_method,region,country,latitude,longitude
2025-09-02,58-9881957,Male,Adjustable Kitchen Broom Stand,Home,2.7241916028,14.99,visa,,Kenya,-0.582624,35.1901151
2025-09-29,98-9139194,Male,Tahini,Food - Condiments,4.3583397873,5.49,americanexpress,,Kenya,-0.4993281,37.2784835
2024-02-18,60-5492372,Male,Sustainable Wooden Toys,Toys,0.443593188,29.99,visa,,Kenya,0.636206,34.2782765
2025-03-10,64-2991826,Male,Blue Denim Jeans,Clothing - Bottoms,2.040664949,49.99,mastercard,,Kenya,0.202957,35.0978385
2024-07-08,26-4259341,Male,Quinoa Salad,Food - Prepared Foods,38.7518264233,5.99,visa,,Kenya,-3.3973104,38.5559336
2025-08-12,03-2474003,Female,Sturdy Bookends,Office,5.2484199043,22.99,,,Kenya,-1.3938636,36.7442377
2024-09-29,87-1130592,Female,Sun-Dried Tomato Pesto,Food - Condiments,12.1952784352,4.49,,,Kenya,,41.8551162
2024-10-15,31-7438342,Male,Rolling Cooler,Outdoor,29.9357744182,59.99,instapayment,,Kenya,,
2024-10-23,53-5401758,Male,Zesty Garlic Marinade,Food - Condiments,8.099524105,4.49,visa,,Kenya,-0.3030988,36.080026
2025-07-10,13-8962756,Male,Camping Chair,Outdoor,4.6357835186,29.99,visa,,Kenya,,34.1114621
2023-12-07,88-3063304,Female,Garlic Naan Bread,Food - Bakery,3.1856191602,3.99,mastercard,,Kenya,0.393611,34.305278
2025-09-12,17-8247126,Male,USB-C Hub,,3.9946618496,39.99,americanexpress,,Kenya,-4.1393386,
2024-04-15,55-6691034,Male,Plant-Based Meal Prep Containers,Kitchen,1.9100058475,18.99,instapayment,,Kenya,,34.6165033
2025-06-07,88-2133061,Female,Himalayan Pink Salt,Food - Condiments,6.8986707002,1.99,americanexpress,,Kenya,0.2827307,
2023-11-02,48-9794976,Female,Fried Rice,Food - Frozen Foods,7.3878739563,4.29,visa,,Kenya,-1.1939843,
2023-12-27,08-4041926,Female,Karaoke Microphone,Music,2.3061466725,39.99,instapayment,,Kenya,,
2025-07-29,99-2215364,Female,Pet Grooming Kit,Pets,6.7417050969,39.99,instapayment,,Kenya,0.202957,35.0978385
2024-09-14,34-4362172,Female,Nail Polish Set,,1.9135498884,25.0,visa,,Kenya,1.3081095,
2025-09-04,20-2868996,Female,Garlic and Herb Rub,Food - Spices,6.4852406266,2.29,,,Kenya,0.490107,35.743418
2024-03-28,09-1805724,Female,Lemon Herb Grilled Chicken,Food - Meat,7.213407175,9.99,bankcard,,Kenya,,36.7018311
2024-11-17,42-4940719,Male,Pet Reflective Vest,Pets,17.811014237,18.99,americanexpress,,Kenya,,39.3180297
2024-03-21,56-6636060,Female,Chicken Fajita Kit,Food - Prepared Foods,0.3688765737,8.99,instapayment,,Kenya,,41.8551162
2024-11-30,63-2786334,Female,Portable Water Filter,Outdoor,0.6734209905,29.99,instapayment,,Kenya,-1.3750813,37.9952144
2024-07-04,67-8805211,Female,Coconut Granola,Food - Snacks,7.2645693394,4.19,mastercard,,Kenya,-3.3973104,38.5559336
2025-02-06,91-6412209,Female,Protein Pancake Mix,Food - Breakfast,3.936406668,3.99,bankcard,,Kenya,,36.9433591
2024-07-25,74-9880215,Female,Coconut Oil Spray,Food - Cooking Oils,16.2229982021,4.99,americanexpress,,Kenya,,
2025-08-24,12-6656709,Female,Dog Walking Waist Pack,,8.1631348245,19.99,,,Kenya,0.490107,
2025-09-03,23-2725401,Female,,Kitchen,25.5436502405,39.99,,,Kenya,-0.7171778,36.4310251
2024-10-18,87-0576869,Female,Honey Glazed Carrots,Food - Produce,3.0460639369,3.49,bankcard,,Kenya,0.393611,
2025-06-01,01-7838361,Female,Pet Hair Vacuum Cleaner Attachment,Pets,1.6536596096,14.99,americanexpress,,Kenya,-1.2816645,
2024-02-19,,Female,Digital Voice Recorder,Electronics,3.473627328,49.99,,,Kenya,0.393611,
2025-09-05,50-7147743,Male,Ice Cube Tray with Lid,Kitchen,5.2193293623,10.99,mastercard,,Kenya,,
2024-08-25,52-1819781,Female,Electric Razor,Health,1.7930790277,59.99,bankcard,,Kenya,,37.1097748
2024-05-25,77-4094356,Male,Carrot and Celery Sticks,Food - Produce,4.2512020018,2.99,mastercard,,Kenya,1.0784436,34.1810057
2025-07-10,92-8999723,Male,Chicken Salad Kit,,4.2926702997,5.99,americanexpress,,Kenya,,
2024-01-24,46-8269965,Male,Coconut Curry Lentils,Food - Canned Goods,1.1916261615,5.79,mastercard,,Kenya,,
2024-04-06,60-6374634,Female,Egg Noodles,Food - Grains,0.2432827016,2.29,bankcard,,Kenya,,34.4212109
2025-04-14,70-3424550,Female,Measuring Cups Set,Kitchen,18.6695255938,19.99,instapayment,,Kenya,,
2025-03-23,89-5366157,Male,Raspberry Vanilla Greek Yogurt,Food - Dairy,7.7435775242,3.49,bankcard,,Kenya,,41.8551162
2025-02-15,38-0247186,Female,Essential Oils Diffuser Necklace,Health,36.1557399973,19.99,,,Kenya,,36.8219462
2025-06-07,94-8348476,Female,Children's Science Experiment Lab Kit,Toys,9.2857922889,29.99,mastercard,,Kenya,1.0784436,
2024-09-19,07-9023846,Female,Cauliflower Rice Stir-Fry,,10.5476471779,4.99,instapayment,,Kenya,,
2023-11-13,69-7405004,Female,Almond Joy Protein Bars,Food - Snacks,11.6552307854,1.99,,,Kenya,,37.5833061
2024-11-06,31-7738505,Female,Frozen Mixed Vegetables,Food - Frozen,32.2307946091,1.99,americanexpress,,Kenya,0.202957,
2025-01-19,36-1487852,Female,Garden Tool Set with Carrying Bag,Garden,0.8179570565,39.99,,,Kenya,,
2024-04-23,73-7660598,Female,Wireless HDMI Receiver,Electronics,10.1144623058,49.99,mastercard,,Kenya,,
2025-07-08,09-9871853,Male,Reusable Snack Bags,Kitchen,12.6415442089,14.99,bankcard,,Kenya,-1.0387569,
2025-09-20,24-2676780,Male,Beef Tacos,Food - Meat,9.6281371548,5.49,,,Kenya,,36.3642919
2023-10-30,18-0363324,Male,Almond Flour Pancake Mix,Food - Baking,1.054851769,5.99,,,Kenya,,36.7018311
2025-01-11,38-1726172,Male,Canvas Wall Art,Home,1.2931508181,39.99,bankcard,,Kenya,,
2025-04-07,77-7816274,Female,Mini Hand Gesture Drone,,0.4822647727,29.99,,,Kenya,-0.3688967,
2025-08-04,46-4883582,Female,Pet Safety Harness,Pets,5.3803654231,24.99,bankcard,,Kenya,1.3081095,
2024-01-03,22-7866931,Male,Dark Chocolate Covered Raisins,Food - Snacks,45.8676225649,3.99,instapayment,,Kenya,,
2024-09-01,65-3641573,Male,Vegetable Fried Rice Mix,Food - Frozen Food,10.2927782861,3.99,,,Kenya,3.1155165,35.6040785
2025-05-07,98-5241434,Male,Vegan Protein Powder,Health,16.2128912309,34.99,,,Kenya,,
2025-06-27,91-9700008,Female,Herbed Mushroom Risotto,Food - Prepared Foods,1.9930784505,5.49,visa,,Kenya,,
2024-10-11,77-5619112,Female,Infrared Thermometer Gun,Health,21.8301697374,29.99,,,Kenya,,
2025-01-17,,Male,Pork Tenderloin,Food - Meat,1.2061395501,10.99,,,Kenya,,
2025-10-11,91-8246060,Female,Organic Almond Flour,Food - Baking,5.7862138689,6.99,instapayment,,Kenya,-1.3750813,37.9952144
2023-11-19,14-4972616,Male,Herb-Infused Olive Oil,Food - Oils,10.8330543296,8.99,,,Kenya,0.6812449,
2025-10-15,83-3115085,Female,Electric Blanket,Home,2.2101439003,59.99,bankcard,,Kenya,0.0351644,
2025-08-13,85-2018159,Male,Fitness Tracker,Fitness,11.0694189152,49.99,visa,,Kenya,,34.5583766
2024-03-12,16-4497975,Male,Blackberry Compote,Food - Condiments,5.6873402683,5.29,,,Kenya,,
2025-10-16,63-4252204,Male,Multi-Purpose Scissors,Office,5.8242296552,8.99,,,Kenya,,
2024-08-26,64-9395080,Female,Coconut Chips,Food - Snacks,9.2195524018,3.59,visa,,Kenya,-0.677334,34.779603
2024-06-01,28-4838606,Male,Quinoa,Food - Grains,17.3946794377,4.49,mastercard,,Kenya,-0.272699,
2025-04-03,18-6404682,Female,Portable Hammock with Stand,Outdoor,12.5723134017,69.99,,,Kenya,-0.1634664,35.5931397
2024-06-01,68-2914619,Female,Fitbit Activity Tracker,Fitness,9.1240858936,99.99,,,Kenya,-0.272699,36.3775152
2024-11-21,94-3933678,Female,Video Camera,Electronics,18.9780805646,199.0,instapayment,,Kenya,,39.6682065
2025-05-03,34-3217647,Female,Ergonomic Mouse Pad with Wrist Support,Office,20.0671200182,14.99,instapayment,,Kenya,-1.0706976,
2024-01-10,42-4828857,Female,Graphic Sweatshirt,Clothing - Tops,9.2898754667,34.99,instapayment,,Kenya,-0.2488358,
2024-08-11,00-4876590,Female,Chipotle Black Bean Salad,Food - Salads,8.3997886975,3.29,bankcard,,Kenya,,34.7679568
2023-11-19,14-9031601,Female,A-Line Skirt,Clothing - Bottoms,9.4354546529,35.99,visa,,Kenya,0.4607691,34.1114621
2025-01-15,74-3043568,Female,Electrolyte Water Bottle,Fitness,7.1471955539,34.99,instapayment,,Kenya,-2.5265605,
2025-10-03,25-0940459,Female,Bluetooth Headphones,Audio,49.3521909137,79.99,instapayment,,Kenya,,34.305278
2023-11-01,55-7374566,Female,Vegan Chocolate Cake Mix,Food - Baking,13.7304400056,4.29,,,Kenya,-4.1393386,39.3180297
2025-10-05,13-9664629,Female,Honey Garlic Shrimp,Food - Seafood,11.285116665,8.49,mastercard,,Kenya,,
2025-04-26,85-1046972,Female,Car Emergency Kit,Automotive,12.0930845525,49.99,bankcard,,Kenya,,34.7518631
2025-08-02,36-0329495,Male,Skincare Fridge,Beauty,8.0801374758,39.99,americanexpress,,Kenya,3.1155165,35.6040785
2024-12-02,54-0685550,Female,Coconut Cream Pie Mix,Food - Baking,16.3632980244,4.99,,,Kenya,0.3332218,34.4877423
2024-03-01,52-0285780,Female,Smoked Gouda Cheese,Food - Dairy,13.831480331,5.49,visa,,Kenya,,
2025-04-26,92-6224015,Male,Cranberry Orange Oatmeal,Food - Breakfast,38.9001722552,2.49,visa,,Kenya,,
2025-03-24,49-1164248,Male,Cookbook,Books,3.0754538151,27.99,visa,,Kenya,,36.080026
2025-07-08,05-4084989,Female,Smoked Paprika Chicken Thighs,Food - Meat,3.1971133387,6.99,bankcard,,Kenya,,
2024-03-01,47-2485267,Female,Digital Wireless Meat Thermometer,Kitchen,18.4579932937,39.99,visa,,Kenya,-1.1939843,34.6165033
2024-05-15,14-6670480,Male,Portable SSD,Storage,20.6389169082,129.99,mastercard,,Kenya,-0.272699,36.3775152
2023-10-30,42-8312095,Female,Pumpkin Puree,Food - Canned Goods,11.0111865361,2.99,bankcard,,Kenya,1.0784436,34.1810057
2024-09-20,29-3636860,Male,Multi-Cooker,Kitchen,2.7068861668,89.99,visa,,Kenya,,36.7018311
