order_date,customer_id,gender,product,category,quantity,unit_price,payment_method,region,country,latitude,longitude
5/16/2022,91-1384302,Male,Sriracha Chili Sauce,Food - Condiments,2.3115522936,2.79,mastercard,,Japan,34.8702789,138.2530386
10/18/2023,28-8266510,Male,Herb Garlic Butter,Food - Condiments,12.6729400436,3.99,americanexpress,Braga,Portugal,41.6427177,-8.4353332
4/1/2021,75-6932352,Male,Outdoor Mosquito Repellent Lantern,Outdoor,15.8131225988,34.99,mastercard,Pennsylvania,United States,,
1/11/2021,69-2612638,Male,Almond Joy Bars,Food - Confectionery,18.0746946992,1.29,bankcard,,,59.4430147,29.4885599
1/6/2024,01-5279721,Male,Sourdough Bread,Food - Bakery,9.6173365333,4.99,instapayment,,Russia,54.886529,
1/7/2022,73-3567843,Male,Children's Art Set,Toys,0.083769584,34.99,,Québec,Canada,45.5080397,-73.564543
9/2/2022,58-9195915,Male,,Food - Condiments,0.8439481888,2.59,visa,,Tunisia,37.2083179,9.9576849
6/27/2022,84-2060669,Male,,Food - Condiments,0.7037141263,2.49,mastercard,,Chad,8.6761,16.566
10/24/2023,43-0838496,Male,Multi-Port USB Hub,Electronics,10.1378497767,19.99,americanexpress,,Colombia,1.683061,
5/6/2022,98-8829712,Male,Chocolate Dipped Fruit,Food - Snacks,9.8286509735,5.99,americanexpress,,Nigeria,11.6497994,4.0644352
5/18/2021,07-2427217,Male,Self-Massaging Pillow,Health,6.6148195252,49.99,visa,,Slovenia,,
8/27/2025,86-5537527,Female,Fitness Smartwatch,Wearable Tech,1.9062040079,99.99,bankcard,,Indonesia,,
11/16/2024,65-2829485,Male,Sea Salt Caramel Brownie,Food - Bakery,16.9800950221,2.49,instapayment,,Japan,38.4507739,140.3089223
5/30/2024,48-9027150,Male,Brownie Bites,Food - Baked Goods,3.3527192718,4.99,,,Greece,,20.7528378
5/7/2022,94-4536176,Female,Electric Razor,Health,3.6806687402,59.99,visa,,Nepal,28.1962471,
5/4/2023,02-7250671,Female,Caramelized Onion Dip Mix,Food - Snacks,0.137207628,2.29,visa,,China,,104.195397
12/26/2022,73-4327652,Male,Bamboo Toothbrush,Health,2.1242082086,5.99,,Viseu,,41.1814553,
9/3/2023,36-4666464,Female,Wine Glasses,Home,1.3435334521,29.99,bankcard,Illinois,United States,39.7443294,-89.7286056
5/20/2025,89-1342517,Male,Leather Wallet,Accessories,0.2330116142,49.99,instapayment,,Venezuela,8.2673715,-72.0631118
4/19/2023,04-8567678,Male,Basketball,Sports,16.5210782232,29.99,americanexpress,,Indonesia,3.9990545,96.9638624
6/28/2021,84-0535327,Male,Gardening Kneeler and Seat,Garden,1.7514403556,39.99,,,Russia,,37.785402
11/6/2022,43-5166469,Male,Herb Seasoned Croutons,Food - Salad Toppings,2.6900885994,2.99,mastercard,,China,,114.382611
1/8/2024,96-6678979,Male,Wireless Earbuds,Audio,1.1104158686,69.99,instapayment,,Chile,,-72.4977407
8/10/2024,94-9481057,Female,Vintage Button-Down Shirt,Clothing - Shirts,34.3597226606,45.99,americanexpress,,Macedonia,,22.38359
11/20/2022,,Female,Non-Slip Yoga Socks,Fitness,8.6457966892,12.99,mastercard,Provence-Alpes-Côte d'Azur,France,43.7129726,7.1703118
7/19/2025,81-2899102,Male,Garden Hoses with Expandable Features,Garden,4.557541515,34.99,bankcard,,Iraq,33.4352789,43.2811579
9/26/2024,05-4143558,Female,Vegetable and Cheese Quesadillas,Food - Frozen,3.2141135953,6.99,bankcard,,Sri Lanka,,79.8919811
4/13/2022,07-3748791,Male,Beef Tacos,Food - Meat,3.2690605774,5.49,instapayment,,Russia,55.72565,37.1635
12/12/2021,56-1080488,Female,Sliced Bell Peppers,Food - Fresh Produce,12.3498415786,3.99,bankcard,,China,27.88157,
10/1/2024,77-6934543,Female,Beet Salad,Food - Prepared Foods,10.0946785326,3.99,americanexpress,,Guatemala,,
